"v","vw","o","c","h","l","t","n","time"
25720,404.4795,404.58,404.15,404.71,404.15,1678093200000,283,2023-03-06 04:00:00
10674,404.1643,404.08,404.1,404.26,404,1.678095e+12,105,2023-03-06 04:30:00
8211,404.1543,404.13,404.09,404.26,404,1678096800000,91,2023-03-06 05:00:00
9527,404.0938,404.05,404.38,404.41,403.89,1678098600000,106,2023-03-06 05:30:00
15474,404.4466,404.37,404.27,404.57,404.2,1678100400000,128,2023-03-06 06:00:00
60612,403.8661,404.19,403.78,404.27,403.62,1678102200000,350,2023-03-06 06:30:00
119942,403.8804,403.73,403.98,404.01,403.68,1.678104e+12,709,2023-03-06 07:00:00
176184,404.1599,403.97,404.39,404.39,403.89,1678105800000,946,2023-03-06 07:30:00
327284,404.6269,403.72,405,405.03,403.69,1678107600000,2057,2023-03-06 08:00:00
328518,405.2237,404.94,405.13,405.63,404.87,1678109400000,1984,2023-03-06 08:30:00
277740,405.1079,405.14,405.05,405.27,404.94,1678111200000,2032,2023-03-06 09:00:00
7590523,405.348,405.05,405.76,405.85,404.76,1.678113e+12,68696,2023-03-06 09:30:00
6563852,406.2302,405.77,406.63,407.03,405.24,1678114800000,58053,2023-03-06 10:00:00
5313741,406.9136,406.64,406.6499,407.37,406.56,1678116600000,42926,2023-03-06 10:30:00
4112748,406.9325,406.65,406.5,407.45,406.39,1678118400000,35090,2023-03-06 11:00:00
3170125,406.3836,406.495,406.7899,406.9,406.23,1678120200000,26892,2023-03-06 11:30:00
2658374,406.9561,406.79,406.81,407.38,406.64,1.678122e+12,25636,2023-03-06 12:00:00
4215973,405.9586,406.815,405.85,406.82,405.57,1678123800000,33646,2023-03-06 12:30:00
3211209,405.5123,405.85,405.6078,405.92,405.29,1678125600000,26820,2023-03-06 13:00:00
4775425,405.1235,405.62,404.855,405.68,404.6031,1678127400000,34741,2023-03-06 13:30:00
3725632,404.8333,404.88,404.95,405.36,404.63,1678129200000,30326,2023-03-06 14:00:00
3779052,404.8515,404.95,404.72,405.2,404.57,1.678131e+12,32037,2023-03-06 14:30:00
